learning_rate,entropy_coef,final_portfolio_value
0.00026663099972129247,0.04284709261868258,105720.36889563382
0.00024086278856848585,0.07191503101547732,165729.2765017091
9.599262475156859e-05,0.07800277619120793,123571.33677615962
6.635119445083346e-05,0.05796942970226102,84178.31328667093
1.9050287104581614e-05,0.04010175566612037,105670.96569777075
0.0001797355639508695,0.03241508933795411,115356.7869688577
3.086871520042577e-05,0.06947551771852692,92164.96563420807
0.00015410076665458075,0.06317920176870505,89336.02176906547
7.594765276659941e-05,0.008372648456358435,118618.21124725485
0.00026586450702070986,0.04278634908378196,127728.26183731854
0.00022531580799064842,0.024765765769960674,96494.3786968206
0.00024113696648528937,0.07178275388210413,124433.00865018184
0.00024058632223827392,0.07207614098718311,113863.17433449355
0.00024146565211734385,0.07160201283435738,102649.62561752704
0.0002407541854314747,0.07197145319776531,117640.70970848067
0.000240651463694545,0.07202048760196071,106775.12666183627
0.0002422282721151682,0.08544456135335311,68805.30578354803
0.00023877441699960225,0.07211161478973666,90967.38200849178
0.00024177076912152847,0.07185541581403224,97191.08631666243
0.00024159865637932352,0.07186391322163384,143886.31980077497
0.0002422567100072185,0.07183199336117019,143113.21348144856
0.0002458079133082717,0.0717384701043341,124010.83349487052
1e-05,0.07155648947158193,125994.03377674585
1.2698186159163022e-05,0.07137870662179459,85120.43264280565
0.00024791847334041463,0.0717154942678533,151542.694512187
0.0002558318372843862,0.07155130748862612,115557.5541727536
0.00025510405340727066,0.07152591278443741,133572.9078811369
0.00026308558566764197,0.0714246409911376,109426.02707430444
0.000940612996804211,0.07228112492889961,126047.6385466148
0.0005539774590017857,0.07168760756208288,146952.2422415099
0.0009368136992884186,0.07162345427068918,90569.2527501037
0.0004077119782248065,0.0716828065763279,106889.51316328661
0.0002469410251608826,0.07128880221687026,97692.80366859063
0.00035397688431734417,0.0720972754687083,141960.43941594756
0.00038119259361627975,0.07353277893951397,122615.36941522255
0.00039484917664017895,0.07231628098631061,92244.3453181742
0.000246400536021164,0.07357396571331824,104821.17855357827
0.0002497360598738938,0.07186475586900712,134301.60950542163
0.00019425333078432113,0.0718497449036299,96286.58674257586
0.0003398368171649971,0.07181010460402203,113045.30710468316
0.0005190570750751701,0.07750749416998413,153223.52769295173
0.00028538135600819853,0.07181190703635212,124930.49918583664
0.0004180268987601627,0.07510888075668379,100099.89700038494
0.0006033908476408525,0.08356106146999194,86309.14116173486
0.0002553867380936718,0.07200425617266648,130796.02698374237
0.00025875062629516593,0.07208157708326261,152312.8247587759
0.00026369706456765994,0.07219942843174351,92535.58400641107
0.00025427186869930263,0.07197183046654766,100735.17884999349
0.0002519400408254235,0.0718386471779669,114657.25592099898
0.00025139911316009774,0.07183066121910674,155878.08398239297
